"ts","userid","sessionid","remote_ip","platform","sdk_ver","debug_device","user_agent","submit_time","name","custom_params__latitude","custom_params__time","custom_params__longitude","appid","type"
"1516718390750","634dc2c4a91ad49dfb9a4538bbee429d","4708193634017008938","183.83.49.236","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:72","gameStart","13.06076","1.516718373535E9","80.2061","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516719171090","634dc2c4a91ad49dfb9a4538bbee429d","4708193634017008938","183.83.49.236","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:71","gameStart","13.06076","1.516719151034E9","80.2061","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516719131031","634dc2c4a91ad49dfb9a4538bbee429d","4708193634017008938","183.83.49.236","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/23/2018 09:01:71","gameStart","13.06076","1.516719120836E9","80.2061","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516704890619","359ac74aac2af40d7a5e3fada4dd5ac7","95396955300227846","42.107.175.149","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 5.0; Lenovo K50a40 Build/LRX21M)","01/23/2018 10:01:18","gameStart","13.05624","1.516703675996E9","80.11504","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516704932340","359ac74aac2af40d7a5e3fada4dd5ac7","95396955300227846","42.107.175.149","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 5.0; Lenovo K50a40 Build/LRX21M)","01/23/2018 10:01:18","gameStart","13.05624","1.516703675996E9","80.11504","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516704826373","359ac74aac2af40d7a5e3fada4dd5ac7","95396955300227846","42.107.175.149","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 5.0; Lenovo K50a40 Build/LRX21M)","01/23/2018 10:01:18","gameStart","13.05624","1.516703675996E9","80.11504","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516708344787","359ac74aac2af40d7a5e3fada4dd5ac7","7107131447204485733","42.107.175.149","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 5.0; Lenovo K50a40 Build/LRX21M)","01/23/2018 10:01:64","gameStart","13.0533","1.516708343272E9","80.11635","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516722537723","359ac74aac2af40d7a5e3fada4dd5ac7","1596421797206008106","42.107.175.149","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 5.0; Lenovo K50a40 Build/LRX21M)","01/23/2018 10:01:45","gameStart","13.05619","1.516722536135E9","80.11652","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516722537723","359ac74aac2af40d7a5e3fada4dd5ac7","1596421797206008106","42.107.175.149","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 5.0; Lenovo K50a40 Build/LRX21M)","01/23/2018 10:01:24","gameStart","13.05619","1.516722536135E9","80.11652","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516755692323","94ad05e34b87d46e3b96943e0ded72f6","15757019536947949","209.6.78.237","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 8.0.0; moto x4 Build/OPW27.57-25-2)","01/23/2018 20:01:68","gameStart","42.34011","1.516755681066E9","-71.15853","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
"1516787234954","634dc2c4a91ad49dfb9a4538bbee429d","8237766055390506132","117.246.52.100","AndroidPlayer","u5.6.3p4","False","Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G610F Build/NRD90M)","01/24/2018 05:01:37","gameStart","13.06957","1.516786927401E9","80.25454","cac03437-6ed3-497d-9a83-9da5319aeaba","custom"
